conceptQID,conceptName,itemDescription,fieldQID,fieldName
Q6045936,scientific knowledge,knowledge produced with the scientific method,Q336,science
Q6049782,Telhis,Type of a document in the Ottoman Empire,Q5283295,administration
Q6051131,Lugaz,Turkish literature term,Q208217,literary studies
Q6058309,Edvar,Term from music theory,Q193544,music theory
Q6059102,MWC model,biochemical model of protein transitions,Q7094,biochemistry
Q6060674,Investigational New Drug,United States Food and Drug Administration's Investigational New Drug (IND) program,Q5133849,clinical research
Q6068140,Iraqi literature,Mesopotamian literature,Q194380,Arabic literature
Q6080754,IsiNgqumo,argot used by homosexuals of South Africa and Zimbabwe,Q6502543,LGBT linguistics
Q26812008,Überrest,"an ""inadvertently"" produced source of information",Q1066186,study of history
Q26836357,charged,heraldic attribute,Q18336,heraldry
Q26877728,public finance,general term for all income and expenditure of the public sector,Q10660901,general economics
Q26882996,manufacturing safety and health,occupational safety and health in the manufacturing sector,Q113161614,manufacturing safety and quality
Q27123988,β-citraurin,chemical compound,Q105582462,biology of colour
Q27133094,vaccine development,research field,Q101929,immunology
Q27303863,human figure,representation of a human person on coats of arms or other heraldic motifs,Q18336,heraldry
Q27303896,General Finnish Ontology,trilingual ontology consisting mainly of general concepts,Q54837,Semantic Web
Q27347933,Ingrid Sinclair,Zimbabwean film director,Q11190,medicine
Q6501338,attention,"behavioral and cognitive process of selectively concentrating on a discrete aspect of information, whether deemed subjective or objective, while ignoring other perceivable information",Q110620109,memory and attention
Q6504956,data visualization,creation and study of the visual representation of data,Q112936830,data visualisation and computational design
Q6504956,data visualization,creation and study of the visual representation of data,Q2374463,data science
Q6506039,living system,open self-organizing living things that interact with their environment,Q864928,life sciences
Q6510488,heat equation,partial differential equation for distribution of heat in a given region over time,Q11473,thermodynamics
Q6517540,legal management (academic discipline),academic and professional discipline that is a hybrid between the study of law and management,Q18564125,business management
Q6518886,Lehman's laws of software evolution,Software evolution laws,Q80993,software engineering
Q6522493,length measurement,techniques for measuring distance,Q394,metrology
Q6535097,level structure,partition of the vertices into subsets that have the same distance from a given root vertex,Q131476,graph theory
Q6535569,Levi graph,bipartite graph associated with an incidence structure,Q131476,graph theory
Q6548076,fineness,"Umbrella term in engineering, especially in structural engineering, road construction and geomechanics",Q11023,engineering
Q6548076,fineness,"Umbrella term in engineering, especially in structural engineering, road construction and geomechanics",Q2670285,geomechanics
Q6549563,limiting similarity,concept in theoretical ecology and community ecology that proposes the existence of a maximum level of niche overlap between two given species that will allow continued coexistence,Q7782365,theoretical ecology
Q6554053,linguistic marketplace,economic notion in sociolinguistics,Q160845,sociolinguistics
Q6554068,linguistic system,"viewpoint of a language as an organized system regulated by a set of rules and conventions, in the theories of Ferdinand de Saussure, J.R. Firth, Benjamin Lee Whorf, Louis Hjelmslev, Michael Halliday, and others",Q7663820,systemic functional linguistics
Q6554084,linguistics in education,use of linguistic theory in education,Q112947641,applied linguistics and educational linguistics
Q6556375,lipidome,totality of lipids in cells,Q6556376,lipidomics
Q6583695,thermal expansion,tendency of matter to change volume in response to a change in temperature,Q11473,thermodynamics
Q109645771,Thomassen theorem,Theorem in graph theory,Q131476,graph theory
Q109647876,German-language studies,discipline that studies German language and literature,Q208217,literary studies
Q109647876,German-language studies,discipline that studies German language and literature,Q166153,German studies
Q109673446,Chinese literature,discipline that studies the literature originating in China,Q269915,sinology
Q109673446,Chinese literature,discipline that studies the literature originating in China,Q2030542,oriental languages
Q109819438,bilingual dictionary entry,entry in two languages,Q2640207,bilingual dictionary
Q109867403,ecological variable,parameter of ecological interactions,Q7150,ecology
Q109867438,biological variable,parameter of a living system,Q420,biology
Q109875946,Refraction of sea waves,change of direction of sea waves near the coast,Q1130265,hydraulic engineering
Q109996900,novel weapons hypothesis,hypothesis in biology,Q42985020,invasion biology
Q6750295,Maniyy,Term from Islamic Jurisprudence,Q484181,fiqh
Q6751493,darul Ifta,office for guidance in Shariah issues,Q482752,sharia
Q6753710,map-coloring games,games in game theory,Q1320931,combinatorial game theory
Q6770925,Marketing science,Field of marketing using scientific methods,Q39809,marketing
Q6774744,Martian soil,fine regolith found on the surface of Mars,Q751439,planetary geology
Q6786865,mathematical physiology,mathematical approaches to studying physiological systems,Q751611,mathematical biology
Q6786865,mathematical physiology,mathematical approaches to studying physiological systems,Q521,physiology
Q6794498,MaxDDBS,computational problem in graph theory,Q131476,graph theory
Q6800189,McCarthy Formalism,formalizes recursive functions by use of the IF-THEN-ELSE construction commonly seen in computer science,Q21198,computer science
Q6801707,McKay graph,quiver describing representations of a group,Q131476,graph theory
Q6803697,meaning,the sign's place in a sign relation,Q60195,semiotics
Q6804646,biological mechanism,system of causally interacting parts and processes that produce one or more effects,Q420,biology
Q6806534,medical genetics of Jews,medical genetics,Q3592613,genetic studies of Jews
Q6806614,medical toxicology,medical specialty,Q2861470,emergency medicine
Q6806625,medical writing,"type of writing used in the medical, healthcare and pharmaceuticals professions",Q84836722,medical affairs
Q6808335,Megacorpstate,type of market structure,Q8134,economics
Q6818846,constitutional theory,"area of constitutional law that focuses on the underpinnings of constitutional government. It overlaps with legal theory, constitutionalism, philosophy of law and democratic theory",Q36442,political science
Q6821389,Mesne,Old English legal term,Q4932206,jurisprudence
Q6822727,Metal aromaticity,Concept of aromaticity extended to metals,Q228736,materials science
Q6833880,law of war,international laws concerning wars,Q6406743,public international law
Q6841077,Midac,technology in automation,Q184199,automation
Q6857638,military history of Spain,aspect of history,Q7781,history of Spain
Q6857804,military psychiatry,branch of psychiatry concerned with Armed Forces personnel,Q7867,psychiatry
Q6860371,Seven Emotions,"classification of emotions used in Buddhist, Confucian, and traditional Chinese medicine and folk religion practices of ancient China (七情)",Q200253,traditional Chinese medicine
Q6865438,minimum cut,a cut of a graph that is minimal,Q2878974,theoretical computer science
Q6865438,minimum cut,a cut of a graph that is minimal,Q131476,graph theory
Q6868926,Minoan sealstone,artifacts from the Minoan civilization,Q58681669,Aegean glyptic
